Ayan01G000010.1	Acyan01G0000100.1
Ayan02G023030.1	Acyan02G0230300.1
Ayan02G023040.1	Acyan02G0230400.1
Ayan02G023050.1	Acyan02G0230500.1
Ayan02G023060.1	Acyan02G0230600.1
Ayan02G023070.1	Acyan02G0230700.1
Ayan02G023080.1	Acyan02G0230800.1
Ayan02G023090.1	Acyan02G0230900.1
Ayan02G023100.1	Acyan02G0231000.1
Ayan02G023110.1	Acyan02G0231100.1
Ayan02G023120.1	Acyan02G0231200.1
Ayan02G023130.1	Acyan02G0231300.1
Ayan02G023140.1	Acyan02G0231400.1
Ayan02G023150.1	Acyan02G0231500.1
Ayan02G023160.1	Acyan02G0231600.1
Ayan02G023170.1	Acyan02G0231700.1
Ayan02G023180.1	Acyan02G0231800.1
Ayan02G023190.1	Acyan02G0231900.1
Ayan02G023200.1	Acyan02G0232000.1
Ayan02G023210.1	Acyan02G0232100.1
Ayan02G023220.1	Acyan02G0232200.1
Ayan02G023230.1	Acyan02G0232300.1
Ayan02G023240.1	Acyan02G0232400.1
Ayan02G023250.1	Acyan02G0232500.1
Ayan02G023260.1	Acyan02G0232600.1
Ayan02G023270.1	Acyan02G0232700.1
Ayan02G023280.1	Acyan02G0232800.1
Ayan02G023290.1	Acyan02G0232900.1
Ayan02G023300.1	Acyan02G0233000.1
Ayan02G023310.1	Acyan02G0233100.1
Ayan02G023320.1	Acyan02G0233200.1
Ayan02G023330.1	Acyan02G0233300.1
Ayan02G023340.1	Acyan02G0233400.1
Ayan02G023350.1	Acyan02G0233500.1
Ayan02G023360.1	Acyan02G0233600.1
Ayan02G023370.1	Acyan02G0233700.1
Ayan02G023380.1	Acyan02G0233800.1
Ayan02G023390.1	Acyan02G0233900.1
Ayan02G023400.1	Acyan02G0234000.1
Ayan02G023410.1	Acyan02G0234100.1
Ayan02G023420.1	Acyan02G0234200.1
Ayan02G023430.1	Acyan02G0234300.1
Ayan02G023440.1	Acyan02G0234400.1
Ayan02G023450.1	Acyan02G0234500.1
Ayan02G023460.1	Acyan02G0234600.1
Ayan02G023470.1	Acyan02G0234700.1
Ayan02G023480.1	Acyan02G0234800.1
Ayan02G023490.1	Acyan02G0234900.1
Ayan02G023500.1	Acyan02G0235000.1
Ayan02G023510.1	Acyan02G0235100.1
Ayan02G023520.1	Acyan02G0235200.1
Ayan02G023530.1	Acyan02G0235300.1
Ayan02G023540.1	Acyan02G0235400.1
Ayan02G023550.1	Acyan02G0235500.1
Ayan02G023560.1	Acyan02G0235600.1
Ayan02G023570.1	Acyan02G0235700.1
Ayan02G023580.1	Acyan02G0235800.1
Ayan02G023590.1	Acyan02G0235900.1
Ayan02G023600.1	Acyan02G0236000.1
Ayan02G023610.1	Acyan02G0236100.1
Ayan02G023620.1	Acyan02G0236200.1
Ayan02G023630.1	Acyan02G0236300.1
Ayan02G023640.1	Acyan02G0236400.1
Ayan02G023650.1	Acyan02G0236500.1
Ayan02G023660.1	Acyan02G0236600.1
Ayan02G023670.1	Acyan02G0236700.1
Ayan02G023680.1	Acyan02G0236800.1
Ayan02G023690.1	Acyan02G0236900.1
Ayan02G023700.1	Acyan02G0237000.1
Ayan02G023710.1	Acyan02G0237100.1
Ayan02G023720.1	Acyan02G0237200.1
Ayan02G023730.1	Acyan02G0237300.1
Ayan02G023740.1	Acyan02G0237400.1
Ayan02G023750.1	Acyan02G0237500.1
Ayan02G023760.1	Acyan02G0237600.1
Ayan02G023770.1	Acyan02G0237700.1
Ayan02G023780.1	Acyan02G0237800.1
Ayan02G023790.1	Acyan02G0237900.1
Ayan02G023800.1	Acyan02G0238000.1
Ayan02G023810.1	Acyan02G0238100.1
Ayan02G023820.1	Acyan02G0238200.1
Ayan02G023830.1	Acyan02G0238300.1
Ayan02G023840.1	Acyan02G0238400.1
Ayan02G023850.1	Acyan02G0238500.1
Ayan02G023860.1	Acyan02G0238600.1
Ayan02G023870.1	Acyan02G0238700.1
Ayan02G023880.1	Acyan02G0238800.1
Ayan02G023890.1	Acyan02G0238900.1
Ayan02G023900.1	Acyan02G0239000.1
Ayan02G023910.1	Acyan02G0239100.1
Ayan02G023920.1	Acyan02G0239200.1
Ayan02G023930.1	Acyan02G0239300.1
Ayan02G023940.1	Acyan02G0239400.1
Ayan02G023950.1	Acyan02G0239500.1
Ayan02G023960.1	Acyan02G0239600.1
Ayan02G023970.1	Acyan02G0239700.1
Ayan02G023980.1	Acyan02G0239800.1
Ayan02G023990.1	Acyan02G0239900.1
Ayan02G024000.1	Acyan02G0240000.1
Ayan02G024010.1	Acyan02G0240100.1
Ayan02G024020.1	Acyan02G0240200.1
Ayan02G024030.1	Acyan02G0240300.1
Ayan02G024040.1	Acyan02G0240400.1
Ayan02G024050.1	Acyan02G0240500.1
Ayan02G024060.1	Acyan02G0240600.1
Ayan02G024070.1	Acyan02G0240700.1
Ayan02G024080.1	Acyan02G0240800.1
Ayan02G024090.1	Acyan02G0240900.1
Ayan02G024100.1	Acyan02G0241000.1
Ayan02G024110.1	Acyan02G0241100.1
Ayan02G024120.1	Acyan02G0241200.1
Ayan02G024130.1	Acyan02G0241300.1
Ayan02G024140.1	Acyan02G0241400.1
Ayan02G024150.1	Acyan02G0241500.1
Ayan02G024160.1	Acyan02G0241600.1
Ayan02G024170.1	Acyan02G0241700.1
Ayan02G024180.1	Acyan02G0241800.1
Ayan02G024190.1	Acyan02G0241900.1
Ayan02G024200.1	Acyan02G0242000.1
Ayan02G024210.1	Acyan02G0242100.1
Ayan02G024220.1	Acyan02G0242200.1
Ayan02G024230.1	Acyan02G0242300.1
Ayan02G024240.1	Acyan02G0242400.1
Ayan02G024250.1	Acyan02G0242500.1
Ayan02G024260.1	Acyan02G0242600.1
Ayan02G024270.1	Acyan02G0242700.1
Ayan02G024280.1	Acyan02G0242800.1
Ayan02G024290.1	Acyan02G0242900.1
Ayan02G024300.1	Acyan02G0243000.1
Ayan02G024310.1	Acyan02G0243100.1
Ayan02G024320.1	Acyan02G0243200.1
Ayan02G024330.1	Acyan02G0243300.1
Ayan02G024340.1	Acyan02G0243400.1
Ayan02G024350.1	Acyan02G0243500.1
Ayan02G024360.1	Acyan02G0243600.1
Ayan02G024370.1	Acyan02G0243700.1
Ayan02G024380.1	Acyan02G0243800.1
Ayan02G024390.1	Acyan02G0243900.1
Ayan02G024400.1	Acyan02G0244000.1
Ayan02G024410.1	Acyan02G0244100.1
Ayan02G024420.1	Acyan02G0244200.1
Ayan02G024430.1	Acyan02G0244300.1
Ayan02G024440.1	Acyan02G0244400.1
Ayan02G024450.1	Acyan02G0244500.1
Ayan02G024460.1	Acyan02G0244600.1
Ayan02G024470.1	Acyan02G0244700.1
Ayan02G024480.1	Acyan02G0244800.1
Ayan02G024490.1	Acyan02G0244900.1
Ayan02G024500.1	Acyan02G0245000.1
Ayan02G024510.1	Acyan02G0245100.1
Ayan02G024520.1	Acyan02G0245200.1
Ayan02G024530.1	Acyan02G0245300.1
Ayan02G024540.1	Acyan02G0245400.1
Ayan02G024550.1	Acyan02G0245500.1
Ayan02G024560.1	Acyan02G0245600.1
Ayan02G024570.1	Acyan02G0245700.1
Ayan02G024580.1	Acyan02G0245800.1
Ayan02G024590.1	Acyan02G0245900.1
Ayan02G024600.1	Acyan02G0246000.1
Ayan02G024610.1	Acyan02G0246100.1
Ayan02G024620.1	Acyan02G0246200.1
Ayan02G024630.1	Acyan02G0246300.1
Ayan02G024640.1	Acyan02G0246400.1
Ayan02G024650.1	Acyan02G0246500.1
Ayan02G024660.1	Acyan02G0246600.1
Ayan02G024670.1	Acyan02G0246700.1
Ayan02G024680.1	Acyan02G0246800.1
Ayan02G024690.1	Acyan02G0246900.1
Ayan02G024700.1	Acyan02G0247000.1
Ayan02G024710.1	Acyan02G0247100.1
Ayan02G024720.1	Acyan02G0247200.1
Ayan02G024730.1	Acyan02G0247300.1
Ayan02G024740.1	Acyan02G0247400.1
Ayan02G024750.1	Acyan02G0247500.1
Ayan02G024760.1	Acyan02G0247600.1
Ayan02G024770.1	Acyan02G0247700.1
Ayan02G024780.1	Acyan02G0247800.1
Ayan02G024790.1	Acyan02G0247900.1
Ayan02G024800.1	Acyan02G0248000.1
Ayan02G024810.1	Acyan02G0248100.1
Ayan02G024820.1	Acyan02G0248200.1
Ayan02G024830.1	Acyan02G0248300.1
Ayan02G024840.1	Acyan02G0248400.1
Ayan02G024850.1	Acyan02G0248500.1
Ayan02G024860.1	Acyan02G0248600.1
Ayan02G024870.1	Acyan02G0248700.1
Ayan02G024880.1	Acyan02G0248800.1
Ayan02G024890.1	Acyan02G0248900.1
Ayan02G024900.1	Acyan02G0249000.1
Ayan02G024910.1	Acyan02G0249100.1
Ayan02G024920.1	Acyan02G0249200.1
Ayan02G024930.1	Acyan02G0249300.1
Ayan02G024940.1	Acyan02G0249400.1
Ayan02G024950.1	Acyan02G0249500.1
Ayan02G024960.1	Acyan02G0249600.1
Ayan02G024970.1	Acyan02G0249700.1
Ayan02G024980.1	Acyan02G0249800.1
Ayan02G024990.1	Acyan02G0249900.1
Ayan02G025000.1	Acyan02G0250000.1
Ayan02G025010.1	Acyan02G0250100.1
Ayan02G025020.1	Acyan02G0250200.1
Ayan02G025030.1	Acyan02G0250300.1
Ayan02G025040.1	Acyan02G0250400.1
Ayan02G025050.1	Acyan02G0250500.1
Ayan02G025060.1	Acyan02G0250600.1
Ayan02G025070.1	Acyan02G0250700.1
Ayan02G025080.1	Acyan02G0250800.1
Ayan02G025090.1	Acyan02G0250900.1
Ayan02G025100.1	Acyan02G0251000.1
Ayan02G025110.1	Acyan02G0251100.1
Ayan02G025120.1	Acyan02G0251200.1
Ayan02G025130.1	Acyan02G0251300.1
Ayan02G025140.1	Acyan02G0251400.1
Ayan02G025150.1	Acyan02G0251500.1
Ayan02G025160.1	Acyan02G0251600.1
Ayan02G025170.1	Acyan02G0251700.1
Ayan02G025180.1	Acyan02G0251800.1
Ayan02G025190.1	Acyan02G0251900.1
Ayan02G025200.1	Acyan02G0252000.1
Ayan02G025210.1	Acyan02G0252100.1
Ayan02G025220.1	Acyan02G0252200.1
Ayan02G025230.1	Acyan02G0252300.1
Ayan02G025240.1	Acyan02G0252400.1
Ayan02G025250.1	Acyan02G0252500.1
Ayan02G025260.1	Acyan02G0252600.1
Ayan02G025270.1	Acyan02G0252700.1
Ayan02G025280.1	Acyan02G0252800.1
Ayan02G025290.1	Acyan02G0252900.1
Ayan02G025300.1	Acyan02G0253000.1
Ayan02G025310.1	Acyan02G0253100.1
Ayan02G025320.1	Acyan02G0253200.1
Ayan02G025330.1	Acyan02G0253300.1
Ayan02G025340.1	Acyan02G0253400.1
Ayan02G025350.1	Acyan02G0253500.1
Ayan02G025360.1	Acyan02G0253600.1
Ayan02G025370.1	Acyan02G0253700.1
Ayan02G025380.1	Acyan02G0253800.1
Ayan02G025390.1	Acyan02G0253900.1
Ayan02G025400.1	Acyan02G0254000.1
Ayan02G025410.1	Acyan02G0254100.1
Ayan02G025420.1	Acyan02G0254200.1
Ayan02G025430.1	Acyan02G0254300.1
Ayan02G025440.1	Acyan02G0254400.1
Ayan02G025450.1	Acyan02G0254500.1
Ayan02G025460.1	Acyan02G0254600.1
Ayan02G025470.1	Acyan02G0254700.1
Ayan02G025480.1	Acyan02G0254800.1
Ayan02G025490.1	Acyan02G0254900.1
Ayan02G025500.1	Acyan02G0255000.1
Ayan02G025510.1	Acyan02G0255100.1
Ayan02G025520.1	Acyan02G0255200.1
Ayan02G025530.1	Acyan02G0255300.1
Ayan02G025540.1	Acyan02G0255400.1
Ayan02G025550.1	Acyan02G0255500.1
Ayan02G025560.1	Acyan02G0255600.1
Ayan02G025570.1	Acyan02G0255700.1
Ayan02G025580.1	Acyan02G0255800.1
Ayan02G025590.1	Acyan02G0255900.1
Ayan02G025600.1	Acyan02G0256000.1
Ayan02G025610.1	Acyan02G0256100.1
Ayan02G025620.1	Acyan02G0256200.1
Ayan02G025630.1	Acyan02G0256300.1
Ayan02G025640.1	Acyan02G0256400.1
Ayan02G025650.1	Acyan02G0256500.1
Ayan02G025660.1	Acyan02G0256600.1
Ayan02G025670.1	Acyan02G0256700.1
Ayan02G025680.1	Acyan02G0256800.1
Ayan02G025690.1	Acyan02G0256900.1
Ayan02G025700.1	Acyan02G0257000.1
Ayan02G025710.1	Acyan02G0257100.1
Ayan02G025720.1	Acyan02G0257200.1
Ayan02G025730.1	Acyan02G0257300.1
Ayan02G025740.1	Acyan02G0257400.1
Ayan02G025750.1	Acyan02G0257500.1
Ayan02G025760.1	Acyan02G0257600.1
Ayan02G025770.1	Acyan02G0257700.1
Ayan02G025780.1	Acyan02G0257800.1
Ayan02G025790.1	Acyan02G0257900.1
Ayan02G025800.1	Acyan02G0258000.1
Ayan02G025810.1	Acyan02G0258100.1
Ayan02G025820.1	Acyan02G0258200.1
Ayan02G025830.1	Acyan02G0258300.1
Ayan02G025840.1	Acyan02G0258400.1
Ayan02G025850.1	Acyan02G0258500.1
Ayan02G025860.1	Acyan02G0258600.1
Ayan02G025870.1	Acyan02G0258700.1
Ayan02G025880.1	Acyan02G0258800.1
Ayan02G025890.1	Acyan02G0258900.1
Ayan02G025900.1	Acyan02G0259000.1
Ayan02G025910.1	Acyan02G0259100.1
Ayan02G025920.1	Acyan02G0259200.1
Ayan02G025930.1	Acyan02G0259300.1
Ayan02G025940.1	Acyan02G0259400.1
Ayan02G025950.1	Acyan02G0259500.1
Ayan02G025960.1	Acyan02G0259600.1
Ayan02G025970.1	Acyan02G0259700.1
Ayan02G025980.1	Acyan02G0259800.1
Ayan02G025990.1	Acyan02G0259900.1
Ayan02G026000.1	Acyan02G0260000.1
Ayan02G026010.1	Acyan02G0260100.1
Ayan02G026020.1	Acyan02G0260200.1
Ayan02G026030.1	Acyan02G0260300.1
Ayan02G026040.1	Acyan02G0260400.1
Ayan02G026050.1	Acyan02G0260500.1
Ayan02G026060.1	Acyan02G0260600.1
Ayan02G026070.1	Acyan02G0260700.1
Ayan02G026080.1	Acyan02G0260800.1
Ayan02G026090.1	Acyan02G0260900.1
Ayan02G026100.1	Acyan02G0261000.1
Ayan02G026110.1	Acyan02G0261100.1
Ayan02G026120.1	Acyan02G0261200.1
Ayan02G026130.1	Acyan02G0261300.1
Ayan02G026140.1	Acyan02G0261400.1
Ayan02G026150.1	Acyan02G0261500.1
Ayan02G026160.1	Acyan02G0261600.1
Ayan02G026170.1	Acyan02G0261700.1
Ayan02G026180.1	Acyan02G0261800.1
Ayan02G026190.1	Acyan02G0261900.1
Ayan02G026200.1	Acyan02G0262000.1
Ayan02G026210.1	Acyan02G0262100.1
Ayan02G026220.1	Acyan02G0262200.1
Ayan02G026230.1	Acyan02G0262300.1
Ayan02G026240.1	Acyan02G0262400.1
Ayan02G026250.1	Acyan02G0262500.1
Ayan02G026260.1	Acyan02G0262600.1
Ayan02G026270.1	Acyan02G0262700.1
Ayan02G026280.1	Acyan02G0262800.1
Ayan02G026290.1	Acyan02G0262900.1
Ayan02G026300.1	Acyan02G0263000.1
Ayan02G026310.1	Acyan02G0263100.1
Ayan02G026320.1	Acyan02G0263200.1
Ayan02G026330.1	Acyan02G0263300.1
Ayan02G026340.1	Acyan02G0263400.1
Ayan02G026350.1	Acyan02G0263500.1
Ayan02G026360.1	Acyan02G0263600.1
Ayan02G026370.1	Acyan02G0263700.1
Ayan02G026380.1	Acyan02G0263800.1
Ayan02G026390.1	Acyan02G0263900.1
Ayan02G026400.1	Acyan02G0264000.1
Ayan02G026410.1	Acyan02G0264100.1
Ayan02G026420.1	Acyan02G0264200.1
Ayan02G026430.1	Acyan02G0264300.1
Ayan02G026440.1	Acyan02G0264400.1
Ayan02G026450.1	Acyan02G0264500.1
Ayan02G026460.1	Acyan02G0264600.1
Ayan02G026470.1	Acyan02G0264700.1
Ayan02G026480.1	Acyan02G0264800.1
Ayan02G026490.1	Acyan02G0264900.1
Ayan02G026500.1	Acyan02G0265000.1
Ayan02G026510.1	Acyan02G0265100.1
Ayan02G026520.1	Acyan02G0265200.1
Ayan02G026530.1	Acyan02G0265300.1
Ayan02G026540.1	Acyan02G0265400.1
Ayan02G026550.1	Acyan02G0265500.1
Ayan02G026560.1	Acyan02G0265600.1
Ayan02G026570.1	Acyan02G0265700.1
Ayan02G026580.1	Acyan02G0265800.1
Ayan02G026590.1	Acyan02G0265900.1
Ayan02G026600.1	Acyan02G0266000.1
Ayan02G026610.1	Acyan02G0266100.1
Ayan02G026620.1	Acyan02G0266200.1
Ayan02G026630.1	Acyan02G0266300.1
Ayan02G026640.1	Acyan02G0266400.1
Ayan02G026650.1	Acyan02G0266500.1
Ayan02G026660.1	Acyan02G0266600.1
Ayan02G026670.1	Acyan02G0266700.1
Ayan02G026680.1	Acyan02G0266800.1
Ayan02G026690.1	Acyan02G0266900.1
Ayan02G026700.1	Acyan02G0267000.1
Ayan02G026710.1	Acyan02G0267100.1
Ayan02G026720.1	Acyan02G0267200.1
Ayan02G026730.1	Acyan02G0267300.1
Ayan02G026740.1	Acyan02G0267400.1
Ayan02G026750.1	Acyan02G0267500.1
Ayan02G026760.1	Acyan02G0267600.1
Ayan02G026770.1	Acyan02G0267700.1
Ayan02G026780.1	Acyan02G0267800.1
Ayan02G026790.1	Acyan02G0267900.1
Ayan02G026800.1	Acyan02G0268000.1
Ayan02G026810.1	Acyan02G0268100.1
Ayan02G026820.1	Acyan02G0268200.1
Ayan02G026830.1	Acyan02G0268300.1
Ayan02G026840.1	Acyan02G0268400.1
Ayan02G026850.1	Acyan02G0268500.1
Ayan02G026860.1	Acyan02G0268600.1
Ayan02G026870.1	Acyan02G0268700.1
Ayan02G026880.1	Acyan02G0268800.1
Ayan02G026890.1	Acyan02G0268900.1
Ayan02G026900.1	Acyan02G0269000.1
Ayan02G026910.1	Acyan02G0269100.1
Ayan02G026920.1	Acyan02G0269200.1
Ayan02G026930.1	Acyan02G0269300.1
Ayan02G026940.1	Acyan02G0269400.1
Ayan02G026950.1	Acyan02G0269500.1
Ayan02G026960.1	Acyan02G0269600.1
Ayan02G026970.1	Acyan02G0269700.1
Ayan02G026980.1	Acyan02G0269800.1
Ayan02G026990.1	Acyan02G0269900.1
Ayan02G027000.1	Acyan02G0270000.1
Ayan02G027010.1	Acyan02G0270100.1
Ayan02G027020.1	Acyan02G0270200.1
Ayan02G027030.1	Acyan02G0270300.1
Ayan02G027040.1	Acyan02G0270400.1
Ayan02G027050.1	Acyan02G0270500.1
Ayan02G027060.1	Acyan02G0270600.1
Ayan02G027070.1	Acyan02G0270700.1
Ayan02G027080.1	Acyan02G0270800.1
Ayan02G027090.1	Acyan02G0270900.1
Ayan02G027100.1	Acyan02G0271000.1
Ayan02G027110.1	Acyan02G0271100.1
Ayan02G027120.1	Acyan02G0271200.1
Ayan02G027130.1	Acyan02G0271300.1
Ayan02G027140.1	Acyan02G0271400.1
Ayan02G027150.1	Acyan02G0271500.1
Ayan02G027160.1	Acyan02G0271600.1
Ayan02G027170.1	Acyan02G0271700.1
Ayan02G027180.1	Acyan02G0271800.1
Ayan02G027190.1	Acyan02G0271900.1
Ayan02G027200.1	Acyan02G0272000.1
Ayan02G027210.1	Acyan02G0272100.1
Ayan02G027220.1	Acyan02G0272200.1
Ayan02G027230.1	Acyan02G0272300.1
Ayan02G027240.1	Acyan02G0272400.1
Ayan02G027250.1	Acyan02G0272500.1
Ayan02G027260.1	Acyan02G0272600.1
Ayan02G027270.1	Acyan02G0272700.1
Ayan02G027280.1	Acyan02G0272800.1
Ayan02G027290.1	Acyan02G0272900.1
Ayan02G027300.1	Acyan02G0273000.1
Ayan02G027310.1	Acyan02G0273100.1
Ayan02G027320.1	Acyan02G0273200.1
Ayan02G027330.1	Acyan02G0273300.1
Ayan02G027340.1	Acyan02G0273400.1
Ayan02G027350.1	Acyan02G0273500.1
Ayan02G027360.1	Acyan02G0273600.1
Ayan02G027370.1	Acyan02G0273700.1
Ayan02G027380.1	Acyan02G0273800.1
Ayan02G027390.1	Acyan02G0273900.1
Ayan02G027400.1	Acyan02G0274000.1
Ayan02G027410.1	Acyan02G0274100.1
Ayan02G027420.1	Acyan02G0274200.1
Ayan02G027430.1	Acyan02G0274300.1
Ayan02G027440.1	Acyan02G0274400.1
Ayan02G027450.1	Acyan02G0274500.1
Ayan02G027460.1	Acyan02G0274600.1
Ayan02G027470.1	Acyan02G0274700.1
Ayan02G027480.1	Acyan02G0274800.1
Ayan02G027490.1	Acyan02G0274900.1
Ayan02G027500.1	Acyan02G0275000.1
Ayan02G027510.1	Acyan02G0275100.1
Ayan02G027520.1	Acyan02G0275200.1
Ayan02G027530.1	Acyan02G0275300.1
Ayan02G027540.1	Acyan02G0275400.1
Ayan02G027550.1	Acyan02G0275500.1
Ayan02G027560.1	Acyan02G0275600.1
Ayan02G027570.1	Acyan02G0275700.1
Ayan02G027580.1	Acyan02G0275800.1
Ayan02G027590.1	Acyan02G0275900.1
Ayan02G027600.1	Acyan02G0276000.1
Ayan02G027610.1	Acyan02G0276100.1
Ayan02G027620.1	Acyan02G0276200.1
Ayan02G027630.1	Acyan02G0276300.1
Ayan02G027640.1	Acyan02G0276400.1
Ayan02G027650.1	Acyan02G0276500.1
Ayan02G027660.1	Acyan02G0276600.1
Ayan02G027670.1	Acyan02G0276700.1
Ayan02G027680.1	Acyan02G0276800.1
Ayan02G027690.1	Acyan02G0276900.1
Ayan02G027700.1	Acyan02G0277000.1
Ayan02G027710.1	Acyan02G0277100.1
Ayan02G027720.1	Acyan02G0277200.1
Ayan02G027730.1	Acyan02G0277300.1
Ayan02G027740.1	Acyan02G0277400.1
Ayan02G027750.1	Acyan02G0277500.1
Ayan02G027760.1	Acyan02G0277600.1
Ayan02G027770.1	Acyan02G0277700.1
Ayan02G027780.1	Acyan02G0277800.1
Ayan02G027790.1	Acyan02G0277900.1
Ayan02G027800.1	Acyan02G0278000.1
Ayan02G027810.1	Acyan02G0278100.1
Ayan02G027820.1	Acyan02G0278200.1
Ayan02G027830.1	Acyan02G0278300.1
Ayan02G027840.1	Acyan02G0278400.1
Ayan02G027850.1	Acyan02G0278500.1
Ayan02G027860.1	Acyan02G0278600.1
Ayan02G027870.1	Acyan02G0278700.1
Ayan02G027880.1	Acyan02G0278800.1
Ayan02G027890.1	Acyan02G0278900.1
Ayan02G027900.1	Acyan02G0279000.1
Ayan02G027910.1	Acyan02G0279100.1
Ayan02G027920.1	Acyan02G0279200.1
Ayan02G027930.1	Acyan02G0279300.1
Ayan02G027940.1	Acyan02G0279400.1
Ayan02G027950.1	Acyan02G0279500.1
Ayan02G027960.1	Acyan02G0279600.1
Ayan02G027970.1	Acyan02G0279700.1
Ayan02G027980.1	Acyan02G0279800.1
Ayan02G027990.1	Acyan02G0279900.1
Ayan02G028000.1	Acyan02G0280000.1
Ayan02G028010.1	Acyan02G0280100.1
Ayan02G028020.1	Acyan02G0280200.1
Ayan02G028030.1	Acyan02G0280300.1
Ayan02G028040.1	Acyan02G0280400.1
Ayan02G028050.1	Acyan02G0280500.1
Ayan02G028060.1	Acyan02G0280600.1
Ayan02G028070.1	Acyan02G0280700.1
Ayan02G028080.1	Acyan02G0280800.1
Ayan02G028090.1	Acyan02G0280900.1
Ayan02G028100.1	Acyan02G0281000.1
Ayan02G028110.1	Acyan02G0281100.1
Ayan02G028120.1	Acyan02G0281200.1
Ayan02G028130.1	Acyan02G0281300.1
Ayan02G028140.1	Acyan02G0281400.1
Ayan02G028150.1	Acyan02G0281500.1
Ayan02G028160.1	Acyan02G0281600.1
Ayan02G028170.1	Acyan02G0281700.1
Ayan02G028180.1	Acyan02G0281800.1
Ayan02G028190.1	Acyan02G0281900.1
Ayan02G028200.1	Acyan02G0282000.1
Ayan02G028210.1	Acyan02G0282100.1
Ayan02G028220.1	Acyan02G0282200.1
Ayan02G028230.1	Acyan02G0282300.1
Ayan02G028240.1	Acyan02G0282400.1
Ayan02G028250.1	Acyan02G0282500.1
Ayan02G028260.1	Acyan02G0282600.1
Ayan02G028270.1	Acyan02G0282700.1
Ayan02G028280.1	Acyan02G0282800.1
Ayan02G028290.1	Acyan02G0282900.1
Ayan02G028300.1	Acyan02G0283000.1
Ayan02G028310.1	Acyan02G0283100.1
Ayan02G028320.1	Acyan02G0283200.1
Ayan02G028330.1	Acyan02G0283300.1
Ayan02G028340.1	Acyan02G0283400.1
Ayan02G028350.1	Acyan02G0283500.1
Ayan02G028360.1	Acyan02G0283600.1
Ayan02G028370.1	Acyan02G0283700.1
Ayan02G028380.1	Acyan02G0283800.1
Ayan02G028390.1	Acyan02G0283900.1
Ayan02G028400.1	Acyan02G0284000.1
Ayan02G028410.1	Acyan02G0284100.1
Ayan02G028420.1	Acyan02G0284200.1
Ayan02G028430.1	Acyan02G0284300.1
Ayan02G028440.1	Acyan02G0284400.1
Ayan02G028450.1	Acyan02G0284500.1
Ayan02G028460.1	Acyan02G0284600.1
Ayan02G028470.1	Acyan02G0284700.1
Ayan02G028480.1	Acyan02G0284800.1
Ayan02G028490.1	Acyan02G0284900.1
Ayan02G028500.1	Acyan02G0285000.1
Ayan02G028510.1	Acyan02G0285100.1
Ayan02G028520.1	Acyan02G0285200.1
Ayan02G028530.1	Acyan02G0285300.1
Ayan02G028540.1	Acyan02G0285400.1
Ayan02G028550.1	Acyan02G0285500.1
Ayan02G028560.1	Acyan02G0285600.1
Ayan02G028570.1	Acyan02G0285700.1
Ayan02G028580.1	Acyan02G0285800.1
Ayan02G028590.1	Acyan02G0285900.1
Ayan02G028600.1	Acyan02G0286000.1
Ayan02G028610.1	Acyan02G0286100.1
Ayan02G028620.1	Acyan02G0286200.1
Ayan02G028630.1	Acyan02G0286300.1
Ayan02G028640.1	Acyan02G0286400.1
Ayan02G028650.1	Acyan02G0286500.1
Ayan02G028660.1	Acyan02G0286600.1
Ayan02G028670.1	Acyan02G0286700.1
Ayan02G028680.1	Acyan02G0286800.1
Ayan02G028690.1	Acyan02G0286900.1
Ayan02G028700.1	Acyan02G0287000.1
Ayan02G028710.1	Acyan02G0287100.1
Ayan02G028720.1	Acyan02G0287200.1
Ayan02G028730.1	Acyan02G0287300.1
Ayan02G028740.1	Acyan02G0287400.1
Ayan02G028750.1	Acyan02G0287500.1
Ayan02G028760.1	Acyan02G0287600.1
Ayan02G028770.1	Acyan02G0287700.1
Ayan02G028780.1	Acyan02G0287800.1
Ayan02G028790.1	Acyan02G0287900.1
Ayan02G028800.1	Acyan02G0288000.1
Ayan02G028810.1	Acyan02G0288100.1
Ayan02G028820.1	Acyan02G0288200.1
Ayan02G028830.1	Acyan02G0288300.1
Ayan02G028840.1	Acyan02G0288400.1
Ayan02G028850.1	Acyan02G0288500.1
Ayan02G028860.1	Acyan02G0288600.1
Ayan02G028870.1	Acyan02G0288700.1
Ayan02G028880.1	Acyan02G0288800.1
Ayan02G028890.1	Acyan02G0288900.1
Ayan02G028900.1	Acyan02G0289000.1
Ayan02G028910.1	Acyan02G0289100.1
Ayan02G028920.1	Acyan02G0289200.1
Ayan02G028930.1	Acyan02G0289300.1
Ayan02G028940.1	Acyan02G0289400.1
Ayan02G028950.1	Acyan02G0289500.1
Ayan02G028960.1	Acyan02G0289600.1
Ayan02G028970.1	Acyan02G0289700.1
Ayan02G028980.1	Acyan02G0289800.1
Ayan02G028990.1	Acyan02G0289900.1
Ayan02G029000.1	Acyan02G0290000.1
Ayan02G029010.1	Acyan02G0290100.1
Ayan02G029020.1	Acyan02G0290200.1
Ayan02G029030.1	Acyan02G0290300.1
Ayan02G029040.1	Acyan02G0290400.1
Ayan02G029050.1	Acyan02G0290500.1
Ayan02G029060.1	Acyan02G0290600.1
Ayan02G029070.1	Acyan02G0290700.1
Ayan02G029080.1	Acyan02G0290800.1
Ayan02G029090.1	Acyan02G0290900.1
