Apse01G000010.1	GWHTBECT000001
Apse01G020650.1	GWHTBECT002262
Apse01G020660.1	GWHTBECT002263
Apse01G020670.1	GWHTBECT002264
Apse01G020680.1	GWHTBECT002265
Apse01G020690.1	GWHTBECT002266
Apse01G020700.1	GWHTBECT002267
Apse01G020710.1	GWHTBECT002268
Apse01G020720.1	GWHTBECT002269
Apse01G020730.1	GWHTBECT002270
Apse01G020730.2	GWHTBECT002271
Apse01G020730.3	GWHTBECT002272
Apse01G020730.4	GWHTBECT002273
Apse01G020740.1	GWHTBECT002274
Apse01G020750.1	GWHTBECT002275
Apse01G020760.1	GWHTBECT002276
Apse01G020770.1	GWHTBECT002277
Apse01G020780.1	GWHTBECT002278
Apse01G020790.1	GWHTBECT002279
Apse01G020800.1	GWHTBECT002280
Apse01G020810.1	GWHTBECT002281
Apse01G020810.2	GWHTBECT002282
Apse01G020820.1	GWHTBECT002283
Apse01G020830.1	GWHTBECT002284
Apse01G020840.1	GWHTBECT002285
Apse01G020850.1	GWHTBECT002286
Apse01G020860.1	GWHTBECT002287
Apse01G020870.1	GWHTBECT002288
Apse01G020880.1	GWHTBECT002289
Apse01G020890.1	GWHTBECT002290
Apse01G020900.1	GWHTBECT002291
Apse01G020910.1	GWHTBECT002292
Apse01G020920.1	GWHTBECT002293
Apse01G020930.1	GWHTBECT002294
Apse01G020940.1	GWHTBECT002295
Apse01G020950.1	GWHTBECT002296
Apse01G020960.1	GWHTBECT002297
Apse01G020970.1	GWHTBECT002298
Apse01G020980.1	GWHTBECT002299
Apse01G020990.1	GWHTBECT002300
Apse01G021000.1	GWHTBECT002301
Apse01G021010.1	GWHTBECT002302
Apse01G021020.1	GWHTBECT002303
Apse01G021030.1	GWHTBECT002304
Apse01G021040.1	GWHTBECT002305
Apse01G021040.2	GWHTBECT002306
Apse01G021040.3	GWHTBECT002307
Apse01G021050.1	GWHTBECT002308
Apse01G021060.1	GWHTBECT002309
Apse01G021070.1	GWHTBECT002310
Apse01G021080.1	GWHTBECT002311
Apse01G021090.1	GWHTBECT002312
Apse01G021100.1	GWHTBECT002313
Apse01G021110.1	GWHTBECT002314
Apse01G021120.1	GWHTBECT002315
Apse01G021130.1	GWHTBECT002316
Apse01G021130.2	GWHTBECT002317
Apse01G021130.3	GWHTBECT002318
Apse01G021140.1	GWHTBECT002319
Apse01G021150.1	GWHTBECT002320
Apse01G021160.1	GWHTBECT002321
Apse01G021170.1	GWHTBECT002322
Apse01G021180.1	GWHTBECT002323
Apse01G021190.1	GWHTBECT002324
Apse01G021190.2	GWHTBECT002325
Apse01G021200.1	GWHTBECT002326
Apse01G021210.1	GWHTBECT002327
Apse01G021220.1	GWHTBECT002328
Apse01G021230.1	GWHTBECT002329
Apse01G021230.2	GWHTBECT002330
Apse01G021240.1	GWHTBECT002331
Apse01G021250.1	GWHTBECT002332
Apse01G021260.1	GWHTBECT002333
Apse01G021270.1	GWHTBECT002334
Apse01G021280.1	GWHTBECT002335
Apse01G021280.2	GWHTBECT002336
Apse01G021280.3	GWHTBECT002337
Apse01G021290.1	GWHTBECT002338
Apse01G021290.2	GWHTBECT002339
Apse01G021300.1	GWHTBECT002340
Apse01G021310.1	GWHTBECT002341
Apse01G021320.1	GWHTBECT002342
Apse01G021330.1	GWHTBECT002343
Apse01G021340.1	GWHTBECT002344
Apse01G021350.1	GWHTBECT002345
Apse01G021360.1	GWHTBECT002346
Apse01G021370.1	GWHTBECT002347
Apse01G021380.1	GWHTBECT002348
Apse01G021390.1	GWHTBECT002349
Apse01G021400.1	GWHTBECT002350
Apse01G021410.1	GWHTBECT002351
Apse01G021420.1	GWHTBECT002352
Apse01G021430.1	GWHTBECT002353
Apse01G021440.1	GWHTBECT002354
Apse01G021450.1	GWHTBECT002355
Apse01G021450.2	GWHTBECT002356
Apse01G021460.1	GWHTBECT002357
Apse01G021470.1	GWHTBECT002358
Apse01G021480.1	GWHTBECT002359
Apse01G021490.1	GWHTBECT002360
Apse01G021500.1	GWHTBECT002361
Apse01G021500.2	GWHTBECT002362
Apse01G021510.1	GWHTBECT002363
Apse01G021520.1	GWHTBECT002364
Apse01G021530.1	GWHTBECT002365
Apse01G021540.1	GWHTBECT002366
Apse01G021550.1	GWHTBECT002367
Apse01G021560.1	GWHTBECT002368
Apse01G021570.1	GWHTBECT002369
Apse01G021580.1	GWHTBECT002370
Apse01G021590.1	GWHTBECT002371
Apse01G021600.1	GWHTBECT002372
Apse01G021610.1	GWHTBECT002373
Apse01G021620.1	GWHTBECT002374
Apse01G021630.1	GWHTBECT002375
Apse01G021640.1	GWHTBECT002376
Apse01G021650.1	GWHTBECT002377
Apse01G021660.1	GWHTBECT002378
Apse01G021670.1	GWHTBECT002379
Apse01G021680.1	GWHTBECT002380
Apse01G021690.1	GWHTBECT002381
Apse01G021700.1	GWHTBECT002382
Apse01G021710.1	GWHTBECT002383
Apse01G021720.1	GWHTBECT002384
Apse01G021730.1	GWHTBECT002385
Apse01G021740.1	GWHTBECT002386
Apse01G021750.1	GWHTBECT002387
Apse01G021760.1	GWHTBECT002388
Apse01G021770.1	GWHTBECT002389
Apse01G021780.1	GWHTBECT002390
Apse01G021780.2	GWHTBECT002391
Apse01G021790.1	GWHTBECT002392
Apse01G021800.1	GWHTBECT002393
Apse01G021810.1	GWHTBECT002394
Apse01G021820.1	GWHTBECT002395
Apse01G021830.1	GWHTBECT002396
Apse01G021840.1	GWHTBECT002397
Apse01G021850.1	GWHTBECT002398
Apse01G021860.1	GWHTBECT002399
Apse01G021870.1	GWHTBECT002400
Apse01G021880.1	GWHTBECT002401
Apse01G021890.1	GWHTBECT002402
Apse01G021900.1	GWHTBECT002403
Apse01G021910.1	GWHTBECT002404
Apse01G021920.1	GWHTBECT002405
Apse01G021930.1	GWHTBECT002406
Apse01G021940.1	GWHTBECT002407
Apse01G021950.1	GWHTBECT002408
Apse01G021960.1	GWHTBECT002409
Apse01G021970.1	GWHTBECT002410
Apse01G021970.2	GWHTBECT002411
Apse01G021980.1	GWHTBECT002412
Apse01G021990.1	GWHTBECT002413
Apse01G022000.1	GWHTBECT002414
Apse01G022010.1	GWHTBECT002415
Apse01G022020.1	GWHTBECT002416
Apse01G022030.1	GWHTBECT002417
Apse01G022040.1	GWHTBECT002418
Apse01G022050.1	GWHTBECT002419
Apse01G022060.1	GWHTBECT002420
Apse01G022070.1	GWHTBECT002421
Apse01G022080.1	GWHTBECT002422
Apse01G022090.1	GWHTBECT002423
Apse01G022100.1	GWHTBECT002424
Apse01G022110.1	GWHTBECT002425
Apse01G022120.1	GWHTBECT002426
Apse01G022130.1	GWHTBECT002427
Apse01G022140.1	GWHTBECT002428
Apse01G022150.1	GWHTBECT002429
Apse01G022160.1	GWHTBECT002430
Apse01G022170.1	GWHTBECT002431
Apse01G022180.1	GWHTBECT002432
Apse01G022190.1	GWHTBECT002433
Apse01G022200.1	GWHTBECT002434
Apse01G022210.1	GWHTBECT002435
Apse01G022220.1	GWHTBECT002436
Apse01G022230.1	GWHTBECT002437
Apse01G022240.1	GWHTBECT002438
Apse01G022250.1	GWHTBECT002439
Apse01G022260.1	GWHTBECT002440
Apse01G022270.1	GWHTBECT002441
Apse01G022280.1	GWHTBECT002442
Apse01G022290.1	GWHTBECT002443
Apse01G022300.1	GWHTBECT002444
Apse01G022300.2	GWHTBECT002445
Apse01G022300.3	GWHTBECT002446
Apse01G022310.1	GWHTBECT002447
Apse01G022320.1	GWHTBECT002448
Apse01G022330.1	GWHTBECT002449
Apse01G022340.1	GWHTBECT002450
Apse01G022350.1	GWHTBECT002451
Apse01G022360.1	GWHTBECT002452
Apse01G022370.1	GWHTBECT002453
Apse01G022380.1	GWHTBECT002454
Apse01G022390.1	GWHTBECT002455
Apse01G022400.1	GWHTBECT002456
Apse01G022410.1	GWHTBECT002457
Apse01G022420.1	GWHTBECT002458
Apse01G022430.1	GWHTBECT002459
Apse01G022440.1	GWHTBECT002460
Apse01G022450.1	GWHTBECT002461
Apse01G022460.1	GWHTBECT002462
Apse01G022460.2	GWHTBECT002463
Apse01G022470.1	GWHTBECT002464
Apse01G022480.1	GWHTBECT002465
Apse01G022490.1	GWHTBECT002466
Apse01G022500.1	GWHTBECT002467
Apse01G022510.1	GWHTBECT002468
Apse01G022520.1	GWHTBECT002469
Apse01G022530.1	GWHTBECT002470
Apse01G022540.1	GWHTBECT002471
Apse01G022550.1	GWHTBECT002472
Apse01G022560.1	GWHTBECT002473
Apse01G022570.1	GWHTBECT002474
Apse01G022580.1	GWHTBECT002475
Apse01G022590.1	GWHTBECT002476
Apse01G022600.1	GWHTBECT002477
Apse01G022610.1	GWHTBECT002478
Apse01G022620.1	GWHTBECT002479
Apse01G022620.2	GWHTBECT002480
Apse01G022620.3	GWHTBECT002481
Apse01G022620.4	GWHTBECT002482
Apse01G022630.1	GWHTBECT002483
Apse01G022630.2	GWHTBECT002484
Apse01G022640.1	GWHTBECT002485
Apse01G022650.1	GWHTBECT002486
Apse01G022660.1	GWHTBECT002487
Apse01G022660.2	GWHTBECT002488
Apse01G022670.1	GWHTBECT002489
Apse01G022680.1	GWHTBECT002490
Apse01G022690.1	GWHTBECT002491
Apse01G022700.1	GWHTBECT002492
Apse01G022710.1	GWHTBECT002493
Apse01G022720.1	GWHTBECT002494
Apse01G022730.1	GWHTBECT002495
Apse01G022740.1	GWHTBECT002496
Apse01G022750.1	GWHTBECT002497
Apse01G022760.1	GWHTBECT002498
Apse01G022770.1	GWHTBECT002499
Apse01G022780.1	GWHTBECT002500
Apse01G022790.1	GWHTBECT002501
Apse01G022800.1	GWHTBECT002502
Apse01G022810.1	GWHTBECT002503
Apse01G022820.1	GWHTBECT002504
Apse01G022830.1	GWHTBECT002505
Apse01G022840.1	GWHTBECT002506
Apse01G022850.1	GWHTBECT002507
Apse01G022860.1	GWHTBECT002508
Apse01G022870.1	GWHTBECT002509
Apse01G022880.1	GWHTBECT002510
Apse01G022890.1	GWHTBECT002511
Apse01G022900.1	GWHTBECT002512
Apse01G022910.1	GWHTBECT002513
Apse01G022920.1	GWHTBECT002514
Apse01G022930.1	GWHTBECT002515
Apse01G022940.1	GWHTBECT002516
Apse01G022950.1	GWHTBECT002517
Apse01G022960.1	GWHTBECT002518
Apse01G022970.1	GWHTBECT002519
Apse01G022980.1	GWHTBECT002520
Apse01G022990.1	GWHTBECT002521
Apse01G023000.1	GWHTBECT002522
Apse01G023010.1	GWHTBECT002523
Apse01G023020.1	GWHTBECT002524
Apse01G023030.1	GWHTBECT002525
Apse01G023040.1	GWHTBECT002526
Apse01G023040.2	GWHTBECT002527
Apse01G023050.1	GWHTBECT002528
Apse01G023060.1	GWHTBECT002529
Apse01G023070.1	GWHTBECT002530
Apse01G023080.1	GWHTBECT002531
Apse01G023090.1	GWHTBECT002532
Apse01G023100.1	GWHTBECT002533
Apse01G023110.1	GWHTBECT002534
Apse01G023120.1	GWHTBECT002535
Apse01G023130.1	GWHTBECT002536
Apse01G023140.1	GWHTBECT002537
Apse01G023150.1	GWHTBECT002538
Apse01G023160.1	GWHTBECT002539
Apse01G023170.1	GWHTBECT002540
Apse01G023180.1	GWHTBECT002541
Apse01G023190.1	GWHTBECT002542
Apse01G023200.1	GWHTBECT002543
Apse01G023210.1	GWHTBECT002544
Apse01G023220.1	GWHTBECT002545
Apse01G023230.1	GWHTBECT002546
Apse01G023240.1	GWHTBECT002547
Apse01G023250.1	GWHTBECT002548
Apse01G023260.1	GWHTBECT002549
Apse01G023270.1	GWHTBECT002550
Apse01G023280.1	GWHTBECT002551
Apse01G023290.1	GWHTBECT002552
Apse01G023300.1	GWHTBECT002553
Apse01G023310.1	GWHTBECT002554
Apse01G023320.1	GWHTBECT002555
Apse01G023330.1	GWHTBECT002556
Apse01G023340.1	GWHTBECT002557
Apse01G023350.1	GWHTBECT002558
Apse01G023360.1	GWHTBECT002559
Apse01G023360.2	GWHTBECT002560
Apse01G023370.1	GWHTBECT002561
Apse01G023380.1	GWHTBECT002562
Apse01G023390.1	GWHTBECT002563
Apse01G023400.1	GWHTBECT002564
Apse01G023410.1	GWHTBECT002565
Apse01G023420.1	GWHTBECT002566
Apse01G023430.1	GWHTBECT002567
Apse01G023440.1	GWHTBECT002568
Apse01G023450.1	GWHTBECT002569
Apse01G023460.1	GWHTBECT002570
Apse01G023470.1	GWHTBECT002571
Apse01G023480.1	GWHTBECT002572
Apse01G023490.1	GWHTBECT002573
Apse01G023500.1	GWHTBECT002574
Apse01G023500.2	GWHTBECT002575
Apse01G023510.1	GWHTBECT002576
Apse01G023520.1	GWHTBECT002577
Apse01G023520.2	GWHTBECT002578
Apse01G023530.1	GWHTBECT002579
Apse01G023540.1	GWHTBECT002580
Apse01G023550.1	GWHTBECT002581
Apse01G023560.1	GWHTBECT002582
Apse01G023570.1	GWHTBECT002583
Apse01G023580.1	GWHTBECT002584
Apse01G023590.1	GWHTBECT002585
Apse01G023600.1	GWHTBECT002586
Apse01G023610.1	GWHTBECT002587
Apse01G023620.1	GWHTBECT002588
Apse01G023630.1	GWHTBECT002589
Apse01G023640.1	GWHTBECT002590
Apse01G023640.2	GWHTBECT002591
Apse01G023650.1	GWHTBECT002592
Apse01G023660.1	GWHTBECT002593
Apse01G023670.1	GWHTBECT002594
Apse01G023680.1	GWHTBECT002595
Apse01G023690.1	GWHTBECT002596
Apse01G023700.1	GWHTBECT002597
Apse01G023710.1	GWHTBECT002598
Apse01G023720.1	GWHTBECT002599
Apse01G023730.1	GWHTBECT002600
Apse01G023740.1	GWHTBECT002601
Apse01G023750.1	GWHTBECT002602
Apse01G023760.1	GWHTBECT002603
Apse01G023770.1	GWHTBECT002604
Apse01G023780.1	GWHTBECT002605
Apse01G023790.1	GWHTBECT002606
Apse01G023800.1	GWHTBECT002607
Apse01G023810.1	GWHTBECT002608
Apse01G023820.1	GWHTBECT002609
Apse01G023830.1	GWHTBECT002610
Apse01G023840.1	GWHTBECT002611
Apse01G023850.1	GWHTBECT002612
Apse01G023860.1	GWHTBECT002613
Apse01G023870.1	GWHTBECT002614
Apse01G023880.1	GWHTBECT002615
Apse01G023890.1	GWHTBECT002616
Apse01G023900.1	GWHTBECT002617
Apse01G023910.1	GWHTBECT002618
Apse01G023920.1	GWHTBECT002619
Apse01G023930.1	GWHTBECT002620
Apse01G023940.1	GWHTBECT002621
Apse01G023950.1	GWHTBECT002622
Apse01G023960.1	GWHTBECT002623
Apse01G023970.1	GWHTBECT002624
Apse01G023980.1	GWHTBECT002625
Apse01G023990.1	GWHTBECT002626
Apse01G023990.2	GWHTBECT002627
Apse01G024000.1	GWHTBECT002628
Apse01G024010.1	GWHTBECT002629
Apse01G024020.1	GWHTBECT002630
Apse01G024030.1	GWHTBECT002631
Apse01G024040.1	GWHTBECT002632
Apse01G024040.2	GWHTBECT002633
Apse01G024050.1	GWHTBECT002634
Apse01G024060.1	GWHTBECT002635
Apse01G024070.1	GWHTBECT002636
Apse01G024080.1	GWHTBECT002637
Apse01G024090.1	GWHTBECT002638
Apse01G024100.1	GWHTBECT002639
Apse01G024100.2	GWHTBECT002640
Apse01G024110.1	GWHTBECT002641
Apse01G024120.1	GWHTBECT002642
Apse01G024130.1	GWHTBECT002643
Apse01G024140.1	GWHTBECT002644
Apse01G024150.1	GWHTBECT002645
Apse01G024160.1	GWHTBECT002646
Apse01G024170.1	GWHTBECT002647
Apse01G024180.1	GWHTBECT002648
Apse01G024190.1	GWHTBECT002649
Apse01G024200.1	GWHTBECT002650
Apse01G024210.1	GWHTBECT002651
Apse01G024220.1	GWHTBECT002652
Apse01G024230.1	GWHTBECT002653
Apse01G024240.1	GWHTBECT002654
Apse01G024250.1	GWHTBECT002655
Apse01G024250.2	GWHTBECT002656
Apse01G024260.1	GWHTBECT002657
Apse01G024270.1	GWHTBECT002658
Apse01G024280.1	GWHTBECT002659
Apse01G024290.1	GWHTBECT002660
Apse01G024300.1	GWHTBECT002661
Apse01G024310.1	GWHTBECT002662
Apse01G024320.1	GWHTBECT002663
Apse01G024330.1	GWHTBECT002664
Apse01G024340.1	GWHTBECT002665
Apse01G024350.1	GWHTBECT002666
Apse01G024360.1	GWHTBECT002667
Apse01G024370.1	GWHTBECT002668
Apse01G024370.2	GWHTBECT002669
Apse01G024380.1	GWHTBECT002670
Apse01G024390.1	GWHTBECT002671
Apse01G024400.1	GWHTBECT002672
Apse01G024410.1	GWHTBECT002673
Apse01G024420.1	GWHTBECT002674
Apse01G024430.1	GWHTBECT002675
Apse01G024440.1	GWHTBECT002676
Apse01G024450.1	GWHTBECT002677
Apse01G024450.2	GWHTBECT002678
Apse01G024460.1	GWHTBECT002679
Apse01G024460.2	GWHTBECT002680
Apse01G024470.1	GWHTBECT002681
Apse01G024480.1	GWHTBECT002682
Apse01G024490.1	GWHTBECT002683
Apse01G024500.1	GWHTBECT002684
Apse01G024510.1	GWHTBECT002685
Apse01G024520.1	GWHTBECT002686
Apse01G024530.1	GWHTBECT002687
Apse01G024540.1	GWHTBECT002688
Apse01G024540.2	GWHTBECT002689
Apse01G024550.1	GWHTBECT002690
Apse01G024560.1	GWHTBECT002691
Apse01G024570.1	GWHTBECT002692
Apse01G024580.1	GWHTBECT002693
Apse01G024580.2	GWHTBECT002694
Apse01G024580.3	GWHTBECT002695
Apse01G024590.1	GWHTBECT002696
Apse01G024600.1	GWHTBECT002697
Apse01G024610.1	GWHTBECT002698
Apse01G024620.1	GWHTBECT002699
Apse01G024630.1	GWHTBECT002700
Apse01G024640.1	GWHTBECT002701
Apse01G024650.1	GWHTBECT002702
Apse01G024660.1	GWHTBECT002703
Apse01G024670.1	GWHTBECT002704
Apse01G024680.1	GWHTBECT002705
Apse01G024690.1	GWHTBECT002706
Apse01G024700.1	GWHTBECT002707
Apse01G024710.1	GWHTBECT002708
Apse01G024720.1	GWHTBECT002709
Apse01G024730.1	GWHTBECT002710
Apse01G024740.1	GWHTBECT002711
Apse01G024750.1	GWHTBECT002712
Apse01G024760.1	GWHTBECT002713
Apse01G024770.1	GWHTBECT002714
Apse01G024780.1	GWHTBECT002715
Apse01G024790.1	GWHTBECT002716
Apse01G024800.1	GWHTBECT002717
Apse01G024810.1	GWHTBECT002718
Apse01G024820.1	GWHTBECT002719
Apse01G024820.2	GWHTBECT002720
Apse01G024830.1	GWHTBECT002721
Apse01G024840.1	GWHTBECT002722
Apse01G024850.1	GWHTBECT002723
Apse01G024860.1	GWHTBECT002724
Apse01G024870.1	GWHTBECT002725
Apse01G024880.1	GWHTBECT002726
Apse01G024890.1	GWHTBECT002727
Apse01G024900.1	GWHTBECT002728
Apse01G024910.1	GWHTBECT002729
Apse01G024920.1	GWHTBECT002730
Apse01G024930.1	GWHTBECT002731
Apse01G024940.1	GWHTBECT002732
Apse01G024950.1	GWHTBECT002733
Apse01G024960.1	GWHTBECT002734
Apse01G024970.1	GWHTBECT002735
Apse01G024980.1	GWHTBECT002736
Apse01G024990.1	GWHTBECT002737
Apse01G025000.1	GWHTBECT002738
Apse01G025010.1	GWHTBECT002739
Apse01G025020.1	GWHTBECT002740
Apse01G025030.1	GWHTBECT002741
Apse01G025040.1	GWHTBECT002742
Apse01G025050.1	GWHTBECT002743
Apse01G025060.1	GWHTBECT002744
Apse01G025070.1	GWHTBECT002745
Apse01G025070.2	GWHTBECT002746
Apse01G025080.1	GWHTBECT002747
Apse01G025090.1	GWHTBECT002748
Apse01G025100.1	GWHTBECT002749
Apse01G025110.1	GWHTBECT002750
Apse01G025120.1	GWHTBECT002751
Apse01G025130.1	GWHTBECT002752
Apse01G025140.1	GWHTBECT002753
Apse01G025150.1	GWHTBECT002754
Apse01G025160.1	GWHTBECT002755
Apse01G025170.1	GWHTBECT002756
Apse01G025180.1	GWHTBECT002757
Apse01G025190.1	GWHTBECT002758
Apse01G025200.1	GWHTBECT002759
Apse01G025200.2	GWHTBECT002760
Apse01G025210.1	GWHTBECT002761
Apse01G025220.1	GWHTBECT002762
Apse01G025230.1	GWHTBECT002763
Apse01G025240.1	GWHTBECT002764
Apse01G025250.1	GWHTBECT002765
Apse01G025260.1	GWHTBECT002766
Apse01G025270.1	GWHTBECT002767
Apse01G025280.1	GWHTBECT002768
Apse01G025290.1	GWHTBECT002769
Apse01G025300.1	GWHTBECT002770
Apse01G025310.1	GWHTBECT002771
Apse01G025320.1	GWHTBECT002772
Apse01G025330.1	GWHTBECT002773
Apse01G025340.1	GWHTBECT002774
Apse01G025350.1	GWHTBECT002775
Apse01G025360.1	GWHTBECT002776
Apse01G025370.1	GWHTBECT002777
Apse01G025380.1	GWHTBECT002778
Apse01G025390.1	GWHTBECT002779
Apse01G025400.1	GWHTBECT002780
Apse01G025410.1	GWHTBECT002781
Apse01G025420.1	GWHTBECT002782
Apse01G025430.1	GWHTBECT002783
Apse01G025440.1	GWHTBECT002784
Apse01G025450.1	GWHTBECT002785
Apse01G025460.1	GWHTBECT002786
Apse01G025460.2	GWHTBECT002787
Apse01G025470.1	GWHTBECT002788
Apse01G025480.1	GWHTBECT002789
Apse01G025490.1	GWHTBECT002790
Apse01G025500.1	GWHTBECT002791
Apse01G025510.1	GWHTBECT002792
Apse01G025520.1	GWHTBECT002793
Apse01G025520.2	GWHTBECT002794
Apse01G025530.1	GWHTBECT002795
Apse01G025540.1	GWHTBECT002796
Apse01G025550.1	GWHTBECT002797
Apse01G025560.1	GWHTBECT002798
Apse01G025570.1	GWHTBECT002799
Apse01G025580.1	GWHTBECT002800
Apse01G025590.1	GWHTBECT002801
Apse01G025590.2	GWHTBECT002802
Apse01G025590.3	GWHTBECT002803
Apse01G025600.1	GWHTBECT002804
Apse01G025600.2	GWHTBECT002805
Apse01G025610.1	GWHTBECT002806
Apse01G025620.1	GWHTBECT002807
Apse01G025630.1	GWHTBECT002808
Apse01G025640.1	GWHTBECT002809
Apse01G025650.1	GWHTBECT002810
Apse01G025660.1	GWHTBECT002811
Apse01G025670.1	GWHTBECT002812
Apse01G025680.1	GWHTBECT002813
Apse01G025690.1	GWHTBECT002814
Apse01G025700.1	GWHTBECT002815
Apse01G025710.1	GWHTBECT002816
Apse01G025720.1	GWHTBECT002817
Apse01G025730.1	GWHTBECT002818
Apse01G025740.1	GWHTBECT002819
Apse01G025750.1	GWHTBECT002820
Apse01G025760.1	GWHTBECT002821
Apse01G025770.1	GWHTBECT002822
Apse01G025780.1	GWHTBECT002823
Apse01G025790.1	GWHTBECT002824
Apse01G025800.1	GWHTBECT002825
Apse01G025800.2	GWHTBECT002826
Apse01G025810.1	GWHTBECT002827
Apse01G025810.2	GWHTBECT002828
Apse01G025820.1	GWHTBECT002829
Apse01G025830.1	GWHTBECT002830
Apse01G025840.1	GWHTBECT002831
Apse01G025850.1	GWHTBECT002832
Apse01G025860.1	GWHTBECT002833
Apse01G025870.1	GWHTBECT002834
Apse01G025880.1	GWHTBECT002835
Apse01G025880.2	GWHTBECT002836
Apse01G025890.1	GWHTBECT002837
Apse01G025900.1	GWHTBECT002838
Apse01G025910.1	GWHTBECT002839
Apse01G025920.1	GWHTBECT002840
Apse01G025930.1	GWHTBECT002841
Apse01G025940.1	GWHTBECT002842
Apse01G025950.1	GWHTBECT002843
Apse01G025960.1	GWHTBECT002844
Apse01G025960.2	GWHTBECT002845
Apse01G025970.1	GWHTBECT002846
Apse01G025980.1	GWHTBECT002847
Apse01G025990.1	GWHTBECT002848
Apse01G026000.1	GWHTBECT002849
Apse01G026010.1	GWHTBECT002850
Apse01G026020.1	GWHTBECT002851
Apse01G026030.1	GWHTBECT002852
Apse01G026030.2	GWHTBECT002853
Apse01G026040.1	GWHTBECT002854
Apse01G026050.1	GWHTBECT002855
Apse01G026060.1	GWHTBECT002856
Apse01G026070.1	GWHTBECT002857
Apse01G026080.1	GWHTBECT002858
Apse01G026090.1	GWHTBECT002859
Apse01G026100.1	GWHTBECT002860
Apse01G026110.1	GWHTBECT002861
Apse01G026120.1	GWHTBECT002862
Apse01G026130.1	GWHTBECT002863
Apse01G026140.1	GWHTBECT002864
Apse01G026150.1	GWHTBECT002865
Apse01G026160.1	GWHTBECT002866
Apse01G026170.1	GWHTBECT002867
Apse01G026180.1	GWHTBECT002868
Apse01G026190.1	GWHTBECT002869
Apse01G026200.1	GWHTBECT002870
Apse01G026200.2	GWHTBECT002871
Apse01G026210.1	GWHTBECT002872
Apse01G026220.1	GWHTBECT002873
Apse01G026230.1	GWHTBECT002874
Apse01G026240.1	GWHTBECT002875
Apse01G026250.1	GWHTBECT002876
Apse01G026260.1	GWHTBECT002877
Apse01G026270.1	GWHTBECT002878
Apse01G026280.1	GWHTBECT002879
Apse01G026290.1	GWHTBECT002880
Apse01G026300.1	GWHTBECT002881
Apse01G026310.1	GWHTBECT002882
Apse01G026320.1	GWHTBECT002883
Apse01G026330.1	GWHTBECT002884
Apse01G026330.2	GWHTBECT002885
Apse01G026340.1	GWHTBECT002886
Apse01G026350.1	GWHTBECT002887
Apse01G026360.1	GWHTBECT002888
Apse01G026370.1	GWHTBECT002889
Apse01G026380.1	GWHTBECT002890
Apse01G026380.2	GWHTBECT002891
Apse01G026390.1	GWHTBECT002892
Apse01G026400.1	GWHTBECT002893
Apse01G026410.1	GWHTBECT002894
Apse01G026420.1	GWHTBECT002895
Apse01G026430.1	GWHTBECT002896
Apse01G026440.1	GWHTBECT002897
Apse01G026450.1	GWHTBECT002898
Apse01G026460.1	GWHTBECT002899
Apse01G026470.1	GWHTBECT002900
Apse01G026480.1	GWHTBECT002901
Apse01G026490.1	GWHTBECT002902
Apse01G026500.1	GWHTBECT002903
Apse01G026500.2	GWHTBECT002904
Apse01G026500.3	GWHTBECT002905
Apse01G026510.1	GWHTBECT002906
Apse01G026510.2	GWHTBECT002907
Apse01G026520.1	GWHTBECT002908
Apse01G026530.1	GWHTBECT002909
Apse01G026540.1	GWHTBECT002910
Apse01G026550.1	GWHTBECT002911
Apse01G026550.2	GWHTBECT002912
Apse01G026560.1	GWHTBECT002913
Apse01G026570.1	GWHTBECT002914
Apse01G026580.1	GWHTBECT002915
Apse01G026590.1	GWHTBECT002916
Apse01G026600.1	GWHTBECT002917
Apse01G026610.1	GWHTBECT002918
Apse01G026620.1	GWHTBECT002919
Apse01G026630.1	GWHTBECT002920
Apse01G026640.1	GWHTBECT002921
Apse01G026650.1	GWHTBECT002922
Apse01G026650.2	GWHTBECT002923
Apse01G026660.1	GWHTBECT002924
Apse01G026670.1	GWHTBECT002925
Apse01G026680.1	GWHTBECT002926
Apse01G026690.1	GWHTBECT002927
Apse01G026700.1	GWHTBECT002928
Apse01G026710.1	GWHTBECT002929
Apse01G026720.1	GWHTBECT002930
Apse01G026730.1	GWHTBECT002931
Apse01G026740.1	GWHTBECT002932
Apse01G026750.1	GWHTBECT002933
Apse01G026760.1	GWHTBECT002934
Apse01G026770.1	GWHTBECT002935
Apse01G026780.1	GWHTBECT002936
Apse01G026790.1	GWHTBECT002937
Apse01G026800.1	GWHTBECT002938
Apse01G026810.1	GWHTBECT002939
Apse01G026820.1	GWHTBECT002940
Apse01G026830.1	GWHTBECT002941
Apse01G026840.1	GWHTBECT002942
Apse01G026850.1	GWHTBECT002943
Apse01G026860.1	GWHTBECT002944
Apse01G026870.1	GWHTBECT002945
Apse01G026880.1	GWHTBECT002946
Apse01G026890.1	GWHTBECT002947
Apse01G026900.1	GWHTBECT002948
Apse01G026910.1	GWHTBECT002949
Apse01G026920.1	GWHTBECT002950
Apse01G026930.1	GWHTBECT002951
Apse01G026940.1	GWHTBECT002952
Apse01G026950.1	GWHTBECT002953
Apse01G026960.1	GWHTBECT002954
Apse01G026970.1	GWHTBECT002955
Apse01G026980.1	GWHTBECT002956
Apse01G026990.1	GWHTBECT002957
Apse01G026990.2	GWHTBECT002958
Apse01G027000.1	GWHTBECT002959
Apse01G027010.1	GWHTBECT002960
