Atru01G000010	Atru.chr1.1
Atru03G008270	Atru.chr3.984
Atru03G008280	Atru.chr3.986
Atru03G008290	Atru.chr3.988
Atru03G008300	Atru.chr3.990
Atru03G008310	Atru.chr3.991
Atru03G008320	Atru.chr3.993
Atru03G008330	Atru.chr3.996
Atru03G008340	Atru.chr3.997
Atru03G008350	Atru.chr3.1000
Atru03G008360	Atru.chr3.1001_Atru.chr3.1002
Atru03G008370	Atru.chr3.1003
Atru03G008380	Atru.chr3.1004
Atru03G008390	Atru.chr3.1005
Atru03G008400	Atru.chr3.1006
Atru03G008410	Atru.chr3.1007
Atru03G008420	Atru.chr3.1008
Atru03G008430	Atru.chr3.1009
Atru03G008440	Atru.chr3.1010
Atru03G008450	Atru.chr3.1011_Atru.chr3.1012
Atru03G008460	Atru.chr3.1013
Atru03G008470	Atru.chr3.1014
Atru03G008480	Atru.chr3.1018
Atru03G008490	Atru.chr3.1019
Atru03G008500	Atru.chr3.1020
Atru03G008510	Atru.chr3.1021
Atru03G008520	Atru.chr3.1022
Atru03G008530	Atru.chr3.1023.1
Atru03G008540	Atru.chr3.1024
Atru03G008550	Atru.chr3.1025
Atru03G008560	Atru.chr3.1026
Atru03G008570	Atru.chr3.1030
Atru03G008580	Atru.chr3.1031
Atru03G008590	Atru.chr3.1032
Atru03G008600	Atru.chr3.1033
Atru03G008610	Atru.chr3.1035
Atru03G008620	Atru.chr3.1040
Atru03G008630	Atru.chr3.1042
Atru03G008640	Atru.chr3.1044
Atru03G008650	Atru.chr3.1045
Atru03G008660	Atru.chr3.1046
Atru03G008670	Atru.chr3.1047
Atru03G008680	Atru.chr3.1048
Atru03G008690	Atru.chr3.1049
Atru03G008700	Atru.chr3.1050
Atru03G008710	Atru.chr3.1051
Atru03G008720	Atru.chr3.1052
Atru03G008730	Atru.chr3.1053
Atru03G008740	Atru.chr3.1054
Atru03G008750	Atru.chr3.1055
Atru03G008760	Atru.chr3.1056
Atru03G008770	Atru.chr3.1057
Atru03G008780	Atru.chr3.1058
Atru03G008790	Atru.chr3.1060
Atru03G008800	Atru.chr3.1062
Atru03G008810	Atru.chr3.1063
Atru03G008820	Atru.chr3.1064
Atru03G008830	Atru.chr3.1065
Atru03G008840	Atru.chr3.1066.1
Atru03G008850	Atru.chr3.1067
Atru03G008860	Atru.chr3.1069
Atru03G008870	Atru.chr3.1070
Atru03G008880	Atru.chr3.1071_Atru.chr3.1072
Atru03G008890	Atru.chr3.1073
Atru03G008900	Atru.chr3.1074
Atru03G008910	Atru.chr3.1075
Atru03G008920	Atru.chr3.1076
Atru03G008930	Atru.chr3.1077
Atru03G008940	Atru.chr3.1078
Atru03G008950	Atru.chr3.1079
Atru03G008960	Atru.chr3.1080
Atru03G008970	Atru.chr3.1081
Atru03G008980	Atru.chr3.1082
Atru03G008990	Atru.chr3.1083
Atru03G009000	Atru.chr3.1084
Atru03G009010	Atru.chr3.1085
Atru03G009020	Atru.chr3.1086
Atru03G009030	Atru.chr3.1087
Atru03G009040	Atru.chr3.1090
Atru03G009050	Atru.chr3.1091
Atru03G009060	Atru.chr3.1092
Atru03G009070	Atru.chr3.1093
Atru03G009080	Atru.chr3.1097_Atru.chr3.1098
Atru03G009090	Atru.chr3.1099
Atru03G009100	Atru.chr3.1100
Atru03G009110	Atru.chr3.1101
Atru03G009120	Atru.chr3.1102
Atru03G009130	Atru.chr3.1103
Atru03G009140	Atru.chr3.1104
Atru03G009150	Atru.chr3.1106
Atru03G009160	Atru.chr3.1107
Atru03G009170	Atru.chr3.1108
Atru03G009180	Atru.chr3.1112
Atru03G009190	Atru.chr3.1117
Atru03G009200	Atru.chr3.1118
Atru03G009210	Atru.chr3.1119
Atru03G009220	Atru.chr3.1120
Atru03G009230	Atru.chr3.1121
Atru03G009240	Atru.chr3.1122
Atru03G009250	Atru.chr3.1123
Atru03G009260	Atru.chr3.1124
Atru03G009270	Atru.chr3.1125_Atru.chr3.1126
Atru03G009280	Atru.chr3.1127
Atru03G009290	Atru.chr3.1128
Atru03G009300	Atru.chr3.1129
Atru03G009310	Atru.chr3.1130
Atru03G009320	Atru.chr3.1131
Atru03G009330	Atru.chr3.1132
Atru03G009340	Atru.chr3.1133
Atru03G009350	Atru.chr3.1134_Atru.chr3.1135
Atru03G009360	Atru.chr3.1136
Atru03G009370	Atru.chr3.1137
Atru03G009380	Atru.chr3.1139
Atru03G009390	Atru.chr3.1140
Atru03G009400	Atru.chr3.1141
Atru03G009410	Atru.chr3.1142
Atru03G009420	Atru.chr3.1143
Atru03G009430	Atru.chr3.1145
Atru03G009440	Atru.chr3.1146
Atru03G009450	Atru.chr3.1147
Atru03G009460	Atru.chr3.1148
Atru03G009470	Atru.chr3.1149
Atru03G009480	Atru.chr3.1150
Atru03G009490	Atru.chr3.1151
Atru03G009500	Atru.chr3.1152
Atru03G009510	Atru.chr3.1153
Atru03G009520	Atru.chr3.1156
Atru03G009530	Atru.chr3.1157
Atru03G009540	Atru.chr3.1158
Atru03G009550	Atru.chr3.1159
Atru03G009560	Atru.chr3.1160
Atru03G009570	Atru.chr3.1162
Atru03G009580	Atru.chr3.1163
Atru03G009590	Atru.chr3.1164
Atru03G009600	Atru.chr3.1165
Atru03G009610	Atru.chr3.1166
Atru03G009620	Atru.chr3.1167
Atru03G009630	Atru.chr3.1168
Atru03G009640	Atru.chr3.1169
Atru03G009650	Atru.chr3.1170
Atru03G009660	Atru.chr3.1172
Atru03G009670	Atru.chr3.1173
Atru03G009680	Atru.chr3.1174
Atru03G009690	Atru.chr3.1175
Atru03G009700	Atru.chr3.1176
Atru03G009710	Atru.chr3.1178
Atru03G009720	Atru.chr3.1179
Atru03G009730	Atru.chr3.1180
Atru03G009740	Atru.chr3.1181
Atru03G009750	Atru.chr3.1182
Atru03G009760	Atru.chr3.1184
Atru03G009770	Atru.chr3.1185
Atru03G009780	Atru.chr3.1186
Atru03G009790	Atru.chr3.1187
Atru03G009800	Atru.chr3.1188
Atru03G009810	Atru.chr3.1189
Atru03G009820	Atru.chr3.1194
Atru03G009830	Atru.chr3.1195
Atru03G009840	Atru.chr3.1196
Atru03G009850	Atru.chr3.1197
Atru03G009860	Atru.chr3.1198
Atru03G009870	Atru.chr3.1199
Atru03G009880	Atru.chr3.1201
Atru03G009890	Atru.chr3.1202
Atru03G009900	Atru.chr3.1204
Atru03G009910	Atru.chr3.1211
Atru03G009920	Atru.chr3.1212
Atru03G009930	Atru.chr3.1213
Atru03G009940	Atru.chr3.1214
Atru03G009950	Atru.chr3.1215
Atru03G009960	Atru.chr3.1216_Atru.chr3.1217
Atru03G009970	Atru.chr3.1218
Atru03G009980	Atru.chr3.1219
Atru03G009990	Atru.chr3.1220
Atru03G010000	Atru.chr3.1221
Atru03G010010	Atru.chr3.1222
Atru03G010020	Atru.chr3.1223
Atru03G010030	Atru.chr3.1224
Atru03G010040	Atru.chr3.1225
Atru03G010050	Atru.chr3.1226
Atru03G010060	Atru.chr3.1227
Atru03G010070	Atru.chr3.1231
Atru03G010080	Atru.chr3.1232
Atru03G010090	Atru.chr3.1233
Atru03G010100	Atru.chr3.1234
Atru03G010110	Atru.chr3.1235
Atru03G010120	Atru.chr3.1236
Atru03G010130	Atru.chr3.1237
Atru03G010140	Atru.chr3.1238
Atru03G010150	Atru.chr3.1239
Atru03G010160	Atru.chr3.1240
Atru03G010170	Atru.chr3.1241
Atru03G010180	Atru.chr3.1242
Atru03G010190	Atru.chr3.1244
Atru03G010200	Atru.chr3.1243
Atru03G010210	Atru.chr3.1245
Atru03G010220	Atru.chr3.1246
Atru03G010230	Atru.chr3.1247
Atru03G010240	Atru.chr3.1248
Atru03G010250	Atru.chr3.1249
Atru03G010260	Atru.chr3.1251
Atru03G010270	Atru.chr3.1252
Atru03G010280	Atru.chr3.1253
Atru03G010290	Atru.chr3.1254
Atru03G010300	Atru.chr3.1257
Atru03G010310	Atru.chr3.1259
Atru03G010320	Atru.chr3.1261_Atru.chr3.1270
Atru03G010330	Atru.chr3.1262
Atru03G010340	Atru.chr3.1263
Atru03G010350	Atru.chr3.1264
Atru03G010360	Atru.chr3.1265
Atru03G010370	Atru.chr3.1266
Atru03G010380	Atru.chr3.1268
Atru03G010390	Atru.chr3.1271
Atru03G010400	Atru.chr3.1272
Atru03G010410	Atru.chr3.1273
Atru03G010420	Atru.chr3.1274
Atru03G010430	Atru.chr3.1277
Atru03G010440	Atru.chr3.1286
Atru03G010450	Atru.chr3.1287
Atru03G010460	Atru.chr3.1288
Atru03G010470	Atru.chr3.1289
Atru03G010480	Atru.chr3.1291
Atru03G010490	Atru.chr3.1292
Atru03G010500	Atru.chr3.1293
Atru03G010510	Atru.chr3.1294
Atru03G010520	Atru.chr3.1295
Atru03G010530	Atru.chr3.1296
Atru03G010540	Atru.chr3.1297.1
Atru03G010550	Atru.chr3.1298
Atru03G010560	Atru.chr3.1299
Atru03G010570	Atru.chr3.1300
Atru03G010580	Atru.chr3.1303
Atru03G010590	Atru.chr3.1304
Atru03G010600	Atru.chr3.1305
Atru03G010610	Atru.chr3.1306
Atru03G010620	Atru.chr3.1307
Atru03G010630	Atru.chr3.1308
Atru03G010640	Atru.chr3.1309
Atru03G010650	Atru.chr3.1310
Atru03G010660	Atru.chr3.1311
Atru03G010670	Atru.chr3.1312
Atru03G010680	Atru.chr3.1315
Atru03G010690	Atru.chr3.1318
Atru03G010700	Atru.chr3.1320
Atru03G010710	Atru.chr3.1321
Atru03G010720	Atru.chr3.1322
Atru03G010730	Atru.chr3.1324
Atru03G010740	Atru.chr3.1325
Atru03G010750	Atru.chr3.1326
Atru03G010760	Atru.chr3.1327
Atru03G010770	Atru.chr3.1328
Atru03G010780	Atru.chr3.1329
Atru03G010790	Atru.chr3.1330
Atru03G010800	Atru.chr3.1331
Atru03G010810	Atru.chr3.1332
Atru03G010820	Atru.chr3.1333
Atru03G010830	Atru.chr3.1334
Atru03G010840	Atru.chr3.1336
Atru03G010850	Atru.chr3.1337
Atru03G010860	Atru.chr3.1338
Atru03G010870	Atru.chr3.1339
Atru03G010880	Atru.chr3.1340
Atru03G010890	Atru.chr3.1342
Atru03G010900	Atru.chr3.1343.2
Atru03G010910	Atru.chr3.1344
Atru03G010920	Atru.chr3.1345
Atru03G010930	Atru.chr3.1351
Atru03G010940	Atru.chr3.1352.1
Atru03G010950	Atru.chr3.1353
Atru03G010960	Atru.chr3.1354
Atru03G010970	Atru.chr3.1357
Atru03G010980	Atru.chr3.1358
Atru03G010990	Atru.chr3.1359
Atru03G011000	Atru.chr3.1360
Atru03G011010	Atru.chr3.1361
Atru03G011020	Atru.chr3.1362
Atru03G011030	Atru.chr3.1363
Atru03G011040	Atru.chr3.1364
Atru03G011050	Atru.chr3.1365
Atru03G011060	Atru.chr3.1368
Atru03G011070	Atru.chr3.1369
Atru03G011080	Atru.chr3.1370
Atru03G011090	Atru.chr3.1371
Atru03G011100	Atru.chr3.1372
Atru03G011110	Atru.chr3.1373
Atru03G011120	Atru.chr3.1374
Atru03G011130	Atru.chr3.1375
Atru03G011140	Atru.chr3.1377
Atru03G011150	Atru.chr3.1378
Atru03G011160	Atru.chr3.1384
Atru03G011170	Atru.chr3.1385
Atru03G011180	Atru.chr3.1386
Atru03G011190	Atru.chr3.1388
Atru03G011200	Atru.chr3.1390
Atru03G011210	Atru.chr3.1392
Atru03G011220	Atru.chr3.1393
Atru03G011230	Atru.chr3.1394
Atru03G011240	Atru.chr3.1396
Atru03G011250	Atru.chr3.1405
Atru03G011260	Atru.chr3.1409
Atru03G011270	Atru.chr3.1410
Atru03G011280	Atru.chr3.1411
Atru03G011290	Atru.chr3.1412
Atru03G011300	Atru.chr3.1413
Atru03G011310	Atru.chr3.1415
Atru03G011320	Atru.chr3.1416
Atru03G011330	Atru.chr3.1417
Atru03G011340	Atru.chr3.1418
Atru03G011350	Atru.chr3.1422
Atru03G011360	Atru.chr3.1426
Atru03G011370	Atru.chr3.1427
Atru03G011380	Atru.chr3.1428
Atru03G011390	Atru.chr3.1429
Atru03G011400	Atru.chr3.1431
Atru03G011410	Atru.chr3.1437
Atru03G011420	Atru.chr3.1439
Atru03G011430	Atru.chr3.1441
Atru03G011440	Atru.chr3.1442
Atru03G011450	Atru.chr3.1445
Atru03G011460	Atru.chr3.1446
Atru03G011470	Atru.chr3.1448
Atru03G011480	Atru.chr3.1450
Atru03G011490	Atru.chr3.1451
Atru03G011500	Atru.chr3.1454
Atru03G011510	Atru.chr3.1455
Atru03G011520	Atru.chr3.1456
Atru03G011530	Atru.chr3.1458
Atru03G011540	Atru.chr3.1461
Atru03G011550	Atru.chr3.1464
Atru03G011560	Atru.chr3.1466
Atru03G011570	Atru.chr3.1467
Atru03G011580	Atru.chr3.1468
Atru03G011590	Atru.chr3.1470
Atru03G011600	Atru.chr3.1471
Atru03G011610	Atru.chr3.1472
Atru03G011620	Atru.chr3.1473
Atru03G011630	Atru.chr3.1475
Atru03G011640	Atru.chr3.1478
Atru03G011650	Atru.chr3.1484
Atru03G011660	Atru.chr3.1485
Atru03G011670	Atru.chr3.1487
Atru03G011680	Atru.chr3.1489
Atru03G011690	Atru.chr3.1490
Atru03G011700	Atru.chr3.1491
Atru03G011710	Atru.chr3.1492
Atru03G011720	Atru.chr3.1493
Atru03G011730	Atru.chr3.1494
Atru03G011740	Atru.chr3.1496
Atru03G011750	Atru.chr3.1498
Atru03G011760	Atru.chr3.1502
Atru03G011770	Atru.chr3.1505
Atru03G011780	Atru.chr3.1506
Atru03G011790	Atru.chr3.1509
Atru03G011800	Atru.chr3.1512
Atru03G011810	Atru.chr3.1514
Atru03G011820	Atru.chr3.1515
Atru03G011830	Atru.chr3.1522
Atru03G011840	Atru.chr3.1525
Atru03G011850	Atru.chr3.1527
Atru03G011860	Atru.chr3.1528
Atru03G011870	Atru.chr3.1530
Atru03G011880	Atru.chr3.1531
Atru03G011890	Atru.chr3.1532
Atru03G011900	Atru.chr3.1534
Atru03G011910	Atru.chr3.1535
Atru03G011920	Atru.chr3.1537.2
Atru03G011930	Atru.chr3.1538
Atru03G011940	Atru.chr3.1539
Atru03G011950	Atru.chr3.1540
Atru03G011960	Atru.chr3.1541
Atru03G011970	Atru.chr3.1542
Atru03G011980	Atru.chr3.1547
Atru03G011990	Atru.chr3.1548
Atru03G012000	Atru.chr3.1550.2
Atru03G012010	Atru.chr3.1551
Atru03G012020	Atru.chr3.1552
Atru03G012030	Atru.chr3.1553
Atru03G012040	Atru.chr3.1554
Atru03G012050	Atru.chr3.1556
Atru03G012060	Atru.chr3.1558
Atru03G012070	Atru.chr3.1557
Atru03G012080	Atru.chr3.1559
Atru03G012090	Atru.chr3.1561
Atru03G012100	Atru.chr3.1562
Atru03G012110	Atru.chr3.1563
Atru03G012120	Atru.chr3.1566
Atru03G012130	Atru.chr3.1567
Atru03G012140	Atru.chr3.1568
Atru03G012150	Atru.chr3.1569
Atru03G012160	Atru.chr3.1570
Atru03G012170	Atru.chr3.1571
Atru03G012180	Atru.chr3.1572
Atru03G012190	Atru.chr3.1574
Atru03G012200	Atru.chr3.1576
Atru03G012210	Atru.chr3.1577
Atru03G012220	Atru.chr3.1578
Atru03G012230	Atru.chr3.1579
Atru03G012240	Atru.chr3.1581
Atru03G012250	Atru.chr3.1583
Atru03G012260	Atru.chr3.1584
Atru03G012270	Atru.chr3.1585
Atru03G012280	Atru.chr3.1587
Atru03G012290	Atru.chr3.1588
Atru03G012300	Atru.chr3.1589
Atru03G012310	Atru.chr3.1590
Atru03G012320	Atru.chr3.1591
Atru03G012330	Atru.chr3.1592
Atru03G012340	Atru.chr3.1595
Atru03G012350	Atru.chr3.1596
Atru03G012360	Atru.chr3.1599
Atru03G012370	Atru.chr3.1600
Atru03G012380	Atru.chr3.1601
Atru03G012390	Atru.chr3.1602
Atru03G012400	Atru.chr3.1603
Atru03G012410	Atru.chr3.1607
Atru03G012420	Atru.chr3.1608
Atru03G012430	Atru.chr3.1609
Atru03G012440	Atru.chr3.1610
Atru03G012450	Atru.chr3.1611
Atru03G012460	Atru.chr3.1613
Atru03G012470	Atru.chr3.1615
Atru03G012480	Atru.chr3.1616
Atru03G012490	Atru.chr3.1617
Atru03G012500	Atru.chr3.1618
Atru03G012510	Atru.chr3.1619
Atru03G012520	Atru.chr3.1620
Atru03G012530	Atru.chr3.1624
Atru03G012540	Atru.chr3.1625
Atru03G012550	Atru.chr3.1629
Atru03G012560	Atru.chr3.1630
Atru03G012570	Atru.chr3.1632
Atru03G012580	Atru.chr3.1633
Atru03G012590	Atru.chr3.1634
Atru03G012600	Atru.chr3.1635
Atru03G012610	Atru.chr3.1638
Atru03G012620	Atru.chr3.1639
Atru03G012630	Atru.chr3.1640
Atru03G012640	Atru.chr3.1641
Atru03G012650	Atru.chr3.1642.1
Atru03G012660	Atru.chr3.1643
Atru03G012670	Atru.chr3.1644
Atru03G012680	Atru.chr3.1645
Atru03G012690	Atru.chr3.1646
Atru03G012700	Atru.chr3.1647
Atru03G012710	Atru.chr3.1651
Atru03G012720	Atru.chr3.1652
Atru03G012730	Atru.chr3.1653
Atru03G012740	Atru.chr3.1654
Atru03G012750	Atru.chr3.1657
Atru03G012760	Atru.chr3.1658_Atru.chr3.1659
Atru03G012770	Atru.chr3.1661
Atru03G012780	Atru.chr3.1664
Atru03G012790	Atru.chr3.1665
Atru03G012800	Atru.chr3.1667
Atru03G012810	Atru.chr3.1671
Atru03G012820	Atru.chr3.1672
Atru03G012830	Atru.chr3.1674
Atru03G012840	Atru.chr3.1679
Atru03G012850	Atru.chr3.1680
Atru03G012860	Atru.chr3.1681
Atru03G012870	Atru.chr3.1685
Atru03G012880	Atru.chr3.1688
Atru03G012890	Atru.chr3.1691
Atru03G012900	Atru.chr3.1692
Atru03G012910	Atru.chr3.1694
Atru03G012920	Atru.chr3.1699
Atru03G012930	Atru.chr3.1700
Atru03G012940	Atru.chr3.1701
Atru03G012950	Atru.chr3.1702
Atru03G012960	Atru.chr3.1703
Atru03G012970	Atru.chr3.1704
Atru03G012980	Atru.chr3.1705
Atru03G012990	Atru.chr3.1706
Atru03G013000	Atru.chr3.1708
Atru03G013010	Atru.chr3.1709
Atru03G013020	Atru.chr3.1710
Atru03G013030	Atru.chr3.1711
Atru03G013040	Atru.chr3.1716
Atru03G013050	Atru.chr3.1718
Atru03G013060	Atru.chr3.1719
Atru03G013070	Atru.chr3.1725
Atru03G013080	Atru.chr3.1727
Atru03G013090	Atru.chr3.1730
Atru03G013100	Atru.chr3.1736
Atru03G013110	Atru.chr3.1742
Atru03G013120	Atru.chr3.1743
Atru03G013130	Atru.chr3.1745
Atru03G013140	Atru.chr3.1746
Atru03G013150	Atru.chr3.1749.1
Atru03G013160	Atru.BG.109.p
Atru03G013170	Atru.chr3.1753
Atru03G013180	Atru.chr3.1755
Atru03G013190	Atru.chr3.1756
Atru03G013200	Atru.chr3.1761
Atru03G013210	Atru.chr3.1762
Atru03G013220	Atru.chr3.1763
Atru03G013230	Atru.chr3.1764
Atru03G013240	Atru.chr3.1765
Atru03G013250	Atru.chr3.1766
Atru03G013260	Atru.chr3.1767
Atru03G013270	Atru.chr3.1768
Atru03G013280	Atru.chr3.1769
Atru03G013290	Atru.chr3.1770
Atru03G013300	Atru.chr3.1771
Atru03G013310	Atru.chr3.1772
Atru03G013320	Atru.chr3.1773
Atru03G013330	Atru.chr3.1774
Atru03G013340	Atru.chr3.1775
Atru03G013350	Atru.chr3.1776
Atru03G013360	Atru.chr3.1780
Atru03G013370	Atru.chr3.1781
Atru03G013380	Atru.chr3.1783
Atru03G013390	Atru.chr3.1784
Atru03G013400	Atru.chr3.1785
Atru03G013410	Atru.chr3.1786
Atru03G013420	Atru.chr3.1788
Atru03G013430	Atru.chr3.1789
Atru03G013440	Atru.chr3.1792
Atru03G013450	Atru.chr3.1794
Atru03G013460	Atru.chr3.1798
Atru03G013470	Atru.chr3.1799
Atru03G013480	Atru.chr3.1800
Atru03G013490	Atru.chr3.1801.1
Atru03G013500	Atru.chr3.1802
Atru03G013510	Atru.chr3.1803
Atru03G013520	Atru.chr3.1814
Atru03G013530	Atru.chr3.1818
Atru03G013540	Atru.chr3.1819
Atru03G013550	Atru.chr3.1820
Atru03G013560	Atru.chr3.1822
Atru03G013570	Atru.chr3.1826
Atru03G013580	Atru.chr3.1827
Atru03G013590	Atru.chr3.1828
Atru03G013600	Atru.chr3.1829.1
Atru03G013610	Atru.chr3.1835
Atru03G013620	Atru.chr3.1839
Atru03G013630	Atru.chr3.1841
Atru03G013640	Atru.chr3.1844
Atru03G013650	Atru.chr3.1845
Atru03G013660	Atru.chr3.1847
Atru03G013670	Atru.chr3.1850
Atru03G013680	Atru.chr3.1851
Atru03G013690	Atru.chr3.1852
Atru03G013700	Atru.chr3.1855
Atru03G013710	Atru.chr3.1858
Atru03G013720	Atru.chr3.1859
Atru03G013730	Atru.chr3.1862
Atru03G013740	Atru.chr3.1868
Atru03G013750	Atru.chr3.1869
Atru03G013760	Atru.chr3.1870
Atru03G013770	Atru.chr3.1875
Atru03G013780	Atru.chr3.1879
Atru03G013790	Atru.chr3.1880
Atru03G013800	Atru.chr3.1881
Atru03G013810	Atru.chr3.1882
Atru03G013820	Atru.chr3.1883
Atru03G013830	Atru.chr3.1893
Atru03G013840	Atru.chr3.1894
Atru03G013850	Atru.chr3.1897
Atru03G013860	Atru.chr3.1901
Atru03G013870	Atru.chr3.1902
Atru03G013880	Atru.chr3.1903
Atru03G013890	Atru.chr3.1904
Atru03G013900	Atru.chr3.1907
Atru03G013910	Atru.chr3.1908
Atru03G013920	Atru.chr3.1909
Atru03G013930	Atru.chr3.1910
Atru03G013940	Atru.chr3.1911
Atru03G013950	Atru.chr3.1912
Atru03G013960	Atru.chr3.1913.1
Atru03G013970	Atru.chr3.1914
Atru03G013980	Atru.chr3.1915
Atru03G013990	Atru.chr3.1918
Atru03G014000	Atru.chr3.1919
Atru03G014010	Atru.chr3.1922
Atru03G014020	Atru.chr3.1923
Atru03G014030	Atru.chr3.1928
Atru03G014040	Atru.chr3.1927
Atru03G014050	Atru.chr3.1929
Atru03G014060	Atru.BG.102.p
Atru03G014070	Atru.chr3.1934
Atru03G014080	Atru.chr3.1939
Atru03G014090	Atru.chr3.1940
Atru03G014100	Atru.chr3.1941
Atru03G014110	Atru.chr3.1942
Atru03G014120	Atru.chr3.1945
Atru03G014130	Atru.chr3.1946
Atru03G014140	Atru.chr3.1947
Atru03G014150	Atru.chr3.1950
Atru03G014160	Atru.chr3.1958
Atru03G014170	Atru.chr3.1959
Atru03G014180	Atru.chr3.1960
Atru03G014190	Atru.chr3.1961
Atru03G014200	Atru.chr3.1966
Atru03G014210	Atru.chr3.1967
Atru03G014220	Atru.chr3.1968
Atru03G014230	Atru.chr3.1970
Atru03G014240	Atru.chr3.1971
Atru03G014250	Atru.chr3.1972
Atru03G014260	Atru.chr3.1974
Atru03G014270	Atru.chr3.1975
Atru03G014280	Atru.chr3.1976
Atru03G014290	Atru.chr3.1977
Atru03G014300	Atru.chr3.1978
Atru03G014310	Atru.chr3.1979
Atru03G014320	Atru.chr3.1980
Atru03G014330	Atru.chr3.1981
Atru03G014340	Atru.chr3.1982
Atru03G014350	Atru.chr3.1983
Atru03G014360	Atru.chr3.1984
Atru03G014370	Atru.chr3.1985
Atru03G014380	Atru.chr3.1986
Atru03G014390	Atru.chr3.1989
Atru03G014400	Atru.chr3.1990
Atru03G014410	Atru.chr3.1993
Atru03G014420	Atru.chr3.1995
Atru03G014430	Atru.chr3.1996
Atru03G014440	Atru.chr3.1997_Atru.chr3.1998
Atru03G014450	Atru.chr3.2002
Atru03G014460	Atru.chr3.2004
Atru03G014470	Atru.chr3.2006
Atru03G014480	Atru.chr3.2007
Atru03G014490	Atru.chr3.2011
Atru03G014500	Atru.chr3.2012
Atru03G014510	Atru.chr3.2013
Atru03G014520	Atru.chr3.2014
Atru03G014530	Atru.chr3.2016
Atru03G014540	Atru.chr3.2017.1
Atru03G014550	Atru.chr3.2018
Atru03G014560	Atru.chr3.2020
Atru03G014570	Atru.chr3.2024
Atru03G014580	Atru.chr3.2025
Atru03G014590	Atru.chr3.2027
Atru03G014600	Atru.chr3.2028
Atru03G014610	Atru.chr3.2029
Atru03G014620	Atru.chr3.2031
Atru03G014630	Atru.chr3.2034
Atru03G014640	Atru.chr3.2035
Atru03G014650	Atru.chr3.2036
Atru03G014660	Atru.chr3.2037
Atru03G014670	Atru.chr3.2038
Atru03G014680	Atru.chr3.2044
Atru03G014690	Atru.chr3.2045
Atru03G014700	Atru.chr3.2046
Atru03G014710	Atru.chr3.2054.1
Atru03G014720	Atru.chr3.2056
Atru03G014730	Atru.chr3.2057
Atru03G014740	Atru.chr3.2058
Atru03G014750	Atru.chr3.2059
Atru03G014760	Atru.chr3.2060
Atru03G014770	Atru.chr3.2061
Atru03G014780	Atru.chr3.2065
Atru03G014790	Atru.chr3.2066
Atru03G014800	Atru.chr3.2067
Atru03G014810	Atru.chr3.2068
Atru03G014820	Atru.chr3.2069
Atru03G014830	Atru.chr3.2070
Atru03G014840	Atru.chr3.2071
Atru03G014850	Atru.chr3.2072
Atru03G014860	Atru.chr3.2075
Atru03G014870	Atru.chr3.2076
Atru03G014880	Atru.chr3.2079
Atru03G014890	Atru.chr3.2080
Atru03G014900	Atru.chr3.2081
Atru03G014910	Atru.chr3.2085
Atru03G014920	Atru.chr3.2086
Atru03G014930	Atru.chr3.2091
Atru03G014940	Atru.chr3.2092
Atru03G014950	Atru.chr3.2095.2
Atru03G014960	Atru.chr3.2096
Atru03G014970	Atru.chr3.2098
Atru03G014980	Atru.chr3.2099
Atru03G014990	Atru.chr3.2101
Atru03G015000	Atru.chr3.2102
Atru03G015010	Atru.chr3.2103
Atru03G015020	Atru.chr3.2105
Atru03G015030	Atru.chr3.2106
Atru03G015040	Atru.chr3.2107
Atru03G015050	Atru.chr3.2115
Atru03G015060	Atru.chr3.2118
Atru03G015070	Atru.chr3.2120
Atru03G015080	Atru.chr3.2121
Atru03G015090	Atru.chr3.2126
Atru03G015100	Atru.chr3.2127
Atru03G015110	Atru.BG.108.p
Atru03G015120	Atru.chr3.2131
Atru03G015130	Atru.chr3.2134
Atru03G015140	Atru.chr3.2136
Atru03G015150	Atru.chr3.2137
Atru03G015160	Atru.chr3.2138
Atru03G015170	Atru.chr3.2139.2
Atru03G015180	Atru.chr3.2140
Atru03G015190	Atru.chr3.2141
Atru03G015200	Atru.chr3.2146
Atru03G015210	Atru.chr3.2148
Atru03G015220	Atru.chr3.2149
Atru03G015230	Atru.chr3.2152
Atru03G015240	Atru.chr3.2155
Atru03G015250	Atru.chr3.2157
Atru03G015260	Atru.chr3.2158
Atru03G015270	Atru.chr3.2162_Atru.chr3.2168
Atru03G015280	Atru.chr3.2163_Atru.chr3.2169
Atru03G015290	Atru.chr3.2165
Atru03G015300	Atru.chr3.2171
Atru03G015310	Atru.chr3.2173
Atru03G015320	Atru.chr3.2176
Atru03G015330	Atru.chr3.2177
Atru03G015340	Atru.chr3.2179
Atru03G015350	Atru.chr3.2182
Atru03G015360	Atru.chr3.2183
Atru03G015370	Atru.chr3.2188
Atru03G015380	Atru.chr3.2189
Atru03G015390	Atru.chr3.2190
Atru03G015400	Atru.chr3.2191
Atru03G015410	Atru.chr3.2193
Atru03G015420	Atru.chr3.2195
Atru03G015430	Atru.chr3.2200
Atru03G015440	Atru.chr3.2201
Atru03G015450	Atru.chr3.2202
Atru03G015460	Atru.chr3.2205
Atru03G015470	Atru.chr3.2206
Atru03G015480	Atru.chr3.2207
Atru03G015490	Atru.chr3.2208
Atru03G015500	Atru.chr3.2209
Atru03G015510	Atru.chr3.2210
Atru03G015520	Atru.chr3.2213
Atru03G015530	Atru.chr3.2215
